"n_obs" "vglm_cl_N" "vglm_cl_LB" "vglm_cl_UB" "em_cl_N" "em_cl_LB" "em_cl_UB" "em_el_N" "em_el_LB" "em_el_UB" "em_pel_N" "em_pel_LB" "em_pel_UB"
124 177.171246550734 98.4063346802469 255.936158421221 176.428460736082 97.0576606252729 255.799260846892 167.134680379609 135.0690179638 360.452918987443 166.213311250169 135.012912170316 306.516761168496
131 190.066489481862 122.170485939583 257.962493024141 189.618195799982 123.017260475826 256.219131124138 183.049672329061 147.743012818793 314.387268910021 182.420137685991 147.682302683764 299.556010125818
127 389.054333891943 -31.872488091007 809.981155874892 382.162802009758 -55.4419630474919 819.767567067008 355.854645409915 183.722039889859 1714.13457148763 308.246885799801 180.034676751378 658.966976266195
134 242.192268224175 92.7538991638439 391.630637284506 240.470914601856 102.01167203004 378.930157173673 226.967892002096 161.172744973029 604.105050707514 222.701664468486 160.825298454471 455.605923984679
137 175.994937937312 120.09642804965 231.893447824974 175.562663809207 115.806972427209 235.318355191205 168.432650083619 144.695074188126 292.368792432606 167.665755649346 144.640543766658 260.082242741439
133 194.74267304132 110.028250484143 279.457095598497 193.932638606263 109.222718287391 278.642558925135 184.711000931624 147.379384669897 383.435654895228 183.151941744619 147.254749008063 323.049823922664
135 210.181556686028 116.320995291392 304.042118080664 209.375436837344 113.334221708499 305.416651966189 200.337793720092 154.925604553485 400.453585700692 198.222324096236 154.721315282503 347.894104310059
121 347.093216030278 -65.1668573578065 759.353289418363 339.150378012255 -7.875200378903 686.175956403414 308.814504076416 161.095150327042 1868.51894935798 264.686921943348 158.397684225301 569.368843197819
116 202.624876431016 62.4262320880729 342.823520773958 200.637648781573 59.0314623303499 342.243835232796 186.262873670449 134.071302778541 633.404815744023 182.216833058456 133.819157998519 386.502874869926
125 164.185760850466 107.815869251714 220.555652449218 163.732138820205 101.037922631934 226.426355008476 156.646639650035 132.508343286037 284.757053622093 155.5549876216 132.426571973717 242.986124747776
134 285.918043140512 82.296335641952 489.539750639072 283.580700070706 70.3567353301299 496.804664811283 268.051876397802 174.192021200491 770.37606932323 260.96617668803 173.588704572352 570.592844476509
135 167.0353235491 126.155666078842 207.914981019358 166.811572775328 127.576303903937 206.046841646719 161.781664626539 141.855139332248 240.081359995536 161.362229436583 141.820393912083 228.872418483329
128 195.730959834088 102.795102275753 288.666817392422 194.840924608633 101.215214384708 288.466634832558 185.107196350254 144.243795949403 408.199996720041 183.401284268626 144.107878821668 338.985537546462
131 227.97862838619 75.086011816856 380.871244955523 226.172530219081 58.0419046965695 394.303155741592 209.934824950414 150.094820980638 618.558341948627 201.724427109901 149.522853699122 376.238884408872
133 246.273593881584 86.0001309328624 406.547056830305 244.342490686802 74.0568024231147 414.628178950488 229.999882155597 161.843436279454 655.599901545575 227.787569810041 161.698756777518 530.224035745941
