"n_obs" "vglm_cl_N" "em_cl_N" "em_el_N" "em_pel_N" "vglm_cl_norm" "em_cl_norm" "em_el_elr" "em_pel_elr"
312 369.793779934393 369.587928934466 367.217181064189 367.166834136963 -1.625162882674 -1.66967601216561 2.11152117449274 2.12355169822513
303 624.417028854051 607.958368365606 596.307320344753 591.40118088298 1.25492733921964 1.16217288638594 5.25495041335125 5.20943436339348
319 384.540514451948 383.962332255672 381.058232867931 381.002681774425 -0.666722407737168 -0.678343663247709 0.545412889566251 0.551235592767625
323 392.131725218366 391.597607432853 388.032543089906 387.883533869958 -0.303886783638945 -0.32143425469533 0.194283551669287 0.201322355545926
310 392.895584672068 392.055030101372 388.51447010351 388.24594466624 -0.237882363389782 -0.276731582911028 0.135960807239826 0.144858753219523
315 391.635347062064 391.06901514733 387.764414607547 387.490304160618 -0.312365968828493 -0.323469073296631 0.189737029782009 0.200999190700713
312 380.874563461999 379.342827383267 374.76834053329 374.555547013929 -0.594172844315085 -0.636648892421475 0.489531101328794 0.507059678328005
316 367.602779899428 367.276657587043 364.73062890846 364.678848044678 -1.75908931165304 -1.76399783729298 2.29579588752858 2.31611793105913
319 380.335136168046 380.170179132042 377.901422424987 377.861387118178 -1.05513499232549 -1.07821753391111 1.11149070994543 1.11894857739571
326 410.312241752335 410.123465912631 407.692631581644 407.669637401912 0.445939301196739 0.432977516210987 0.129547707018901 0.128909978417141
321 400.776568868035 400.15131531707 397.117356747796 397.091853893789 0.029221380087352 0.00580457861666228 0.0108381968884714 0.0110734555819363
319 355.063337821662 354.972184766527 353.334423286128 353.324582826332 -3.84277026665771 -3.68549160878929 7.57479428035458 7.59604823884001
313 445.746750310825 440.219048359503 429.942339137873 429.060101917442 0.600073027435793 0.536324507677732 0.331243358026768 0.320525955041376
315 419.006926325472 417.375870184939 411.7859709711 411.302502902185 0.433078066925733 0.401942849338085 0.102835619148209 0.0962718303735528
325 441.904752937293 441.447245073483 438.122360741059 438.058653481587 1.24204808071182 1.29562148478595 1.96860001309688 1.96544204404836
320 483.278882463474 482.182240878439 477.776081089613 477.640752075718 1.65898906716983 1.6847726131673 4.9408814788294 4.93560757130672
312 372.353322167901 372.049401810637 369.39548056129 369.377360981767 -1.35454899284419 -1.38913093603081 1.58779377761675 1.59297809563577
315 369.694440525222 369.420523222613 366.811232712774 366.759510086328 -1.59234457087827 -1.56619976855921 2.02998139280044 2.04689214474729
312 387.817666412366 387.148050014146 384.315129303381 384.289588057563 -0.48147100722443 -0.532257740726104 0.331631426732201 0.333459371964636
317 398.159713442788 397.720227787186 394.883194033505 394.647792016052 -0.0722995843523787 -0.0869635612267559 0.0385199328375165 0.042537158761661
318 387.544043003306 387.311205550552 384.814319122799 384.789976838749 -0.58734187868991 -0.60883620374912 0.443818655906398 0.446089485469201
317 390.759714337837 390.453852975261 387.699678115608 387.537051797252 -0.398076784440938 -0.42328863816657 0.252622800925565 0.261795617610915
312 368.347510486714 368.170246574192 366.159991969338 366.147614281272 -1.87730023520835 -1.8455665675162 2.70237033694411 2.70844842369115
322 441.182308512488 440.263675469489 436.227130479884 436.103234624932 1.05066449135498 0.976304064266603 1.36171819927313 1.3568903199639
318 417.493654852439 415.224667225423 409.543143253699 408.918337261121 0.389125512858339 0.331187042562449 0.0694663840158682 0.0624200670836217
316 413.152824768583 412.215369383187 407.584669430116 407.472030773633 0.357014882496448 0.33097505337553 0.0563650048388809 0.0549425245671955
307 390.350461908796 389.587340268273 386.460686477402 386.41938790621 -0.341430188662373 -0.370634834577399 0.206236966938377 0.208118331178412
311 371.673376222813 371.288188207856 368.315983864342 368.20580560616 -1.29759169489082 -1.26749958320003 1.47137778822798 1.49540588291347
315 375.207967858091 374.828896136601 372.083836207084 372.069896640955 -1.18245864187489 -1.25218314704578 1.27609032421969 1.27969302746351
327 458.646352194472 457.39554295219 451.953324042297 451.572750713073 1.21136557369096 1.20504076952486 2.14934397098568 2.13639870504176
303 444.38385966576 442.217807795882 436.794916174128 436.375692486052 0.815643716397583 0.765072958617584 0.751107061136281 0.74154453249048
324 396.896316335432 396.423169231151 393.859775990813 393.830538625955 -0.135255343493273 -0.166867381640667 0.067850867713787 0.0686735955050608
319 411.538206864745 410.625455103144 407.107853578495 407.071474636938 0.36124374015452 0.335036303979945 0.0641112299144879 0.0635654952902769
316 454.979830999985 453.813352832701 449.191788405164 448.797446139679 1.17882815900384 1.13317688138249 1.9299358461667 1.91577933247754
300 400.836521118223 399.192668476411 393.78191804366 393.452173013037 0.0195189481129529 -0.0190435142193609 0.0194428375634743 0.0220992176627988
318 416.542539983502 415.73257689728 411.900633884878 411.731052841626 0.487807662039537 0.452972128151318 0.160580672202741 0.156929432278957
315 476.809368159911 473.694247400813 467.755582017849 466.875180388512 1.19441711343568 1.14457520244389 2.45508539856291 2.43116333972648
312 402.990882443991 402.590025154727 399.282718786914 399.022892759569 0.103185998402459 0.0874720858581407 0.000371575983990624 0.000790212832725956
311 360.359165969216 360.126575586239 357.961181120063 357.944729597929 -2.41689216680364 -2.40953098149144 3.70866036208827 3.72110391589831
302 369.041651100513 368.482401790545 365.881393478125 365.841153892012 -1.37665274487999 -1.39102756095965 1.53372100323941 1.54337076339834
314 390.714623413622 390.464044620664 387.808703784226 387.739902331297 -0.400646280255753 -0.407903604192667 0.249739433693321 0.253599526306061
328 420.525192369733 420.251474915491 417.35112892972 417.334701612486 0.763909885697632 0.734967853823425 0.537779281463372 0.537168023020968
316 385.479316880054 385.115216545916 382.71079921727 382.696283920503 -0.679866843459447 -0.685556487594438 0.549978886172539 0.551660181967236
307 379.126847619353 378.558597288095 375.416351124345 375.207276358544 -0.821869795591406 -0.818977806372743 0.733635270470586 0.755160600618183
329 436.752090284106 434.388414565508 428.042617494962 427.550144092248 0.747930497167026 0.715290686672385 0.603983535340376 0.592690020223927
319 382.794758850206 382.566517853744 380.207873191395 380.188977042376 -0.877028265714638 -0.898390005139091 0.825083229209667 0.828080727545967
301 412.181142372064 411.004006924942 406.434322340493 406.120457308825 0.297908583754443 0.272019469067702 0.032742559313192 0.0301092685185722
304 346.085572581325 345.802538648764 343.622106680989 343.565460284875 -3.52316006697669 -3.54462907880158 5.61225338536769 5.68181396900673
319 382.366016545116 382.163964177378 379.746515415791 379.707760344595 -0.897023425742619 -0.88746713197435 0.858113942324053 0.86399106954832
318 479.763378706251 475.774975038561 466.986708821213 466.303112788387 1.04423847445885 1.00083141564862 1.89406763326133 1.88103366608448
313 351.153750054902 350.950213360469 349.11036362783 349.074167106071 -3.70919424810119 -3.63952875644038 6.27609640756054 6.33060153892802
314 379.437721106654 378.578381880905 375.418893833076 375.137972886526 -0.82144809922813 -0.861908919418462 0.725941985719146 0.758856583778652
310 365.758278205833 365.370577983717 363.242336717486 363.221864713697 -1.89886553121838 -1.90492991417327 2.51053467082238 2.52010394919216
315 441.497265475508 435.780588467109 424.68135735905 423.375330725948 0.541754246684411 0.462274742433382 0.227641264338672 0.213054680424648
313 377.077560403108 376.679246621919 373.970075447314 373.897591764464 -1.05974485590713 -1.07225155873926 1.08825714587783 1.10061808101909
330 427.900361218323 426.367044824773 420.796282478678 420.466415889757 0.668486549045304 0.642583152519755 0.405741331013814 0.397830785527731
311 417.860034796336 416.658323094881 411.992472461079 411.60141850788 0.444597343311804 0.407917757853247 0.120874868533974 0.114762068580603
317 387.39490516684 386.699721970423 383.179959568274 383.132439080414 -0.472954343597782 -0.513828774139018 0.342857825411556 0.346229983524609
312 387.160477681016 386.809285654374 384.21742996408 384.14622306909 -0.556354846352645 -0.569808130089183 0.405215344322642 0.410750693003138
314 383.943977288448 383.716455414861 381.270779104569 381.248698770525 -0.761605518445167 -0.74030776628239 0.658936073288714 0.661648566081567
317 379.748449360379 379.418917792302 376.863187817412 376.817527644955 -0.98573408514028 -1.00387628082142 0.979396778390765 0.987030596624209
317 392.476042267216 392.16475633593 389.356381377803 389.274062601132 -0.316577609157243 -0.323472996140236 0.183714859875181 0.186692437212514
315 400.401412899033 400.092506467429 397.123247583453 397.029188321348 0.0153440747632016 0.00348901394134206 0.0111343086364286 0.0119948142400972
307 413.693140805023 412.628809840955 407.892817545821 407.721349353813 0.343224117488614 0.314483623919826 0.0522608630944887 0.0505434539154521
314 367.283128941265 367.155138601228 365.136355700032 365.05642333413 -2.02481302714531 -1.93821249124285 3.05142599562623 3.08660353368941
317 494.379669900912 492.466158757562 486.500138826964 485.730040765587 1.48967150723047 1.45535851395672 4.18835430734998 4.16385131113293
316 372.362333987115 372.218364279555 370.387421889361 370.384698626689 -1.72818355427318 -1.74941853914454 2.42362303627306 2.4255866432668
319 356.930179017569 356.785858139026 355.095909167666 355.08311350341 -3.46865804828203 -3.35187954665851 6.28498496706197 6.3061130021124
323 400.701725350004 399.991629947753 396.66409074623 396.613173423012 0.0254974416857262 -0.00030994498898459 0.0137409453445798 0.0142588949311175
333 406.042751450393 405.577484502476 402.431436352565 402.295234295332 0.242030181659466 0.223029282628061 0.0122889125195798 0.0110646459888812
312 394.75792402642 393.390548139064 388.801585497802 388.599487072248 -0.149886292918847 -0.193479823566383 0.096660673122642 0.101393231037036
303 363.126442107284 362.84895888754 360.385243914124 360.28412600513 -1.87660926832041 -1.85779469707223 2.5829520182433 2.61815692102846
315 421.674497454276 419.193821779726 413.200005267976 412.286044647259 0.446548465882383 0.396417081575805 0.120154941842884 0.107949802201802
320 368.42529263508 368.201043000391 366.268988600294 366.254471883012 -2.05416066411168 -2.15368959202425 2.96035856538583 2.96926644968971
319 391.476056546591 390.843671454348 387.498178764616 387.435501063072 -0.324654608993306 -0.357752232793177 0.204482574485155 0.206780861390143
325 414.728088730607 414.494469820654 412.159901694809 412.128538878534 0.618479725723834 0.59500064223498 0.314974652889759 0.31374517513359
319 418.603755433472 417.933380996562 414.397962003381 414.307157845711 0.572424263688909 0.534325333962858 0.257907776939646 0.255937999466369
307 388.153909373274 387.531669408352 384.001816156935 383.994622590872 -0.412993512681546 -0.445488461707788 0.273194731867989 0.27372501726586
301 341.501678918372 341.403398962862 339.727473035032 339.712821472015 -4.61043613825978 -4.63160508414835 9.67689347264786 9.7114299704399
327 403.35834139038 402.980640508865 400.270778941097 400.250333939605 0.141476495437631 0.124198207320079 0.00029143756000849 0.000260678783888579
314 391.072389722616 390.778172616285 387.98450816075 387.966855234971 -0.372551052164279 -0.382366113414259 0.227810303561455 0.228806106066259
326 411.104794693323 410.659910921335 407.816411082787 407.719596056704 0.424810057568918 0.412617039404329 0.108544671779782 0.106277973219221
299 374.796467905282 374.374892802713 371.321690650813 371.205220419641 -0.996425879548045 -0.959862170532606 0.977414180186315 0.992830932205834
314 493.586913822057 488.624761909655 477.492600866936 476.430465948732 1.02253455014678 0.982234711833603 1.8658808429318 1.84945082911236
332 420.024791014157 419.632535082263 416.872337878418 416.729981429456 0.768280801597982 0.722155686135828 0.548868369125557 0.542292131347494
326 416.285351607316 415.944917582247 413.214061128519 413.189203548782 0.623044186505832 0.601388399850154 0.318714146018465 0.317859914226574
311 369.418409300931 369.119708044241 366.803307409889 366.759352162389 -1.62206888098087 -1.65753793994189 2.0571532014701 2.07136734791766
324 408.792431655212 408.390623505147 405.881199504905 405.852361589872 0.358220079336301 0.342786320870616 0.0675649703034651 0.06699584312355
301 435.79295686524 429.710364990386 416.78575550353 414.833480039561 0.420640430882425 0.346722656250811 0.0790024637844908 0.0661432077713471
324 378.242320225334 377.772732689974 374.676158213609 374.598507895835 -1.02890935946895 -1.05518203727604 1.0434598699494 1.05833722218449
323 473.480464711248 470.043538902562 462.8381856012 461.874077873039 1.10550931559869 1.08203052499387 2.08846264493604 2.0646689620653
322 423.005703446465 422.412632058229 418.902485782295 418.723811461417 0.712545789938721 0.684995436819372 0.463243539529685 0.457041771132026
315 384.475678858001 384.34033072137 382.455323601381 382.448242691709 -0.849237241922886 -0.867875217242676 0.780113098514448 0.781290585029637
311 357.582138504954 357.450049297581 355.504707507819 355.486897222982 -2.86962667875889 -2.83127746422096 5.0657281604399 5.08303786693432
322 378.862217951625 378.676721685991 376.495713566992 376.483143591194 -1.20068119160273 -1.24069622636807 1.35258636207709 1.35598440741524
317 428.146112383291 425.966861356597 421.627199384418 421.256845494891 0.64997775525955 0.571180358265825 0.409699212393207 0.400775381154745
325 391.106591112349 390.885224194794 388.435982679175 388.411558176497 -0.437268153406035 -0.451069898041354 0.290202897624113 0.291997290326435
328 478.871635021261 476.992246033488 471.228950292376 470.669033125346 1.40408903300354 1.37210053997323 3.68681903077777 3.66783172663418
321 418.167757630302 416.960391554653 412.527552920534 412.385759157256 0.490365298159884 0.443618912758357 0.161609743405279 0.158783937744374
322 417.124030181532 416.748714800908 413.419149715045 413.382614530882 0.579565712528558 0.561789139376176 0.261423640133216 0.260377478997725
333 460.877068122717 460.103643031461 455.708358673197 455.148152054395 1.46288520812715 1.41539144206123 3.3958700555213 3.36852058385102
324 483.405308129898 474.594501133368 457.406439255631 455.861601903255 0.764940756640553 0.692917986790528 0.838518610245956 0.822236301456542
