"vglm_cl_N" "em_cl_N" "em_el_N" "em_pel_N" "vglm_cl_norm" "em_cl_norm" "em_el_elr" "em_pel_elr"
474.94341341793 471.329464828516 451.347375020483 450.870138432012 0.572945431797143 0.518919792976793 0.293103592694933 0.290255097304453
324.00821503097 323.186204801733 313.485695591774 313.421854719387 -1.41925729701949 -1.47257044577105 1.47882607622023 1.49463735202198
437.794306913878 434.516888616433 416.759533576931 415.907682449315 0.319251506848435 0.284975637101908 0.0387162233337222 0.0357442456406716
328.796013356495 328.3156939398 321.345501053763 321.309672570072 -1.86760361150535 -1.9544441959266 2.21870396496297 2.22919349605354
484.328075447679 480.304410224657 459.216334699148 457.112166694904 0.594819933245199 0.576059638740798 0.36267437412198 0.349004017658444
363.776209995905 363.127214272008 354.301404552703 354.297390750045 -0.792618107117734 -0.804007396582763 0.673230424060421 0.674770001007346
344.95893051714 344.312278639521 335.814549994788 335.794467548651 -1.10092511423471 -1.12582039243284 1.13452155971754 1.13944724043768
405.583051176294 402.730386940408 384.377521884692 383.973022470638 0.0596470456826401 0.0294013246942417 0.0262147972971434 0.0282522912543755
390.94783206433 389.550166352586 376.822081965017 376.504394135333 -0.113639953447154 -0.136097635515661 0.0841304690966354 0.0876312702353061
405.163356783436 403.521888403715 389.107298034406 388.653243332072 0.0598545580351396 0.0435295717939094 0.014226089173917 0.0159430437092851
423.95397833706 421.411587700116 405.002445339697 404.668843251418 0.234491625962877 0.207425071082504 0.00573691150520972 0.00517575799085535
360.342042193691 359.390982250012 348.77115863584 348.654556652954 -0.701871684804734 -0.689595984715352 0.600376890565713 0.607443509217319
413.629635816341 411.720949377469 396.088909590835 395.301942252143 0.14500396639706 0.12813629893399 0.000576355249904736 0.00128883931756718
348.381706074903 347.466891453446 338.037279545544 338.031414968148 -1.070983138803 -1.14198812700624 1.02015517687232 1.02369488497334
323.639885615623 322.563405910216 311.660078952124 311.633468808314 -1.59223484584356 -1.60716637928069 1.51961744865048 1.53408384262229
628.53051846048 616.43361283223 575.732466491643 563.586937304662 0.791489489722923 0.706366187629481 1.21108803204834 1.16094532422267
756.42580017001 737.395114525525 693.479957299124 661.773120061039 0.896552702275149 0.850002219317988 2.59579394036973 2.4783807081244
943.766645713155 874.124103783625 780.849512587067 652.497337492433 0.665893218561792 0.610348093084272 1.73338535976291 1.46582969560768
364.831562488078 363.853819067392 352.949415871992 352.734400205374 -0.588942142963829 -0.644537557255819 0.455883611306945 0.465174599317834
369.049449325425 367.714544584299 354.783845116451 354.682249322825 -0.43872212040328 -0.465379979763245 0.337371672354493 0.341785560099652
443.569048901979 440.775050949737 422.074756014717 421.440242570667 0.377961920754527 0.354878560225582 0.0641981195885819 0.0614616022271548
561.654695831179 553.748368055294 522.033476922005 518.593756430155 0.786002679943 0.654241231891692 0.965192649488472 0.9472381736432
569.571622779793 562.850626371897 533.243393754025 527.165241284494 0.754760777322909 0.72308612901968 0.978103902024941 0.945858621605112
426.54725980167 424.409246238955 407.610671666755 407.256966077018 0.276629728872543 0.2357476088222 0.0116008352265453 0.0107823748239753
375.129131202214 373.975612598829 362.18760007093 361.891946051645 -0.349850877615046 -0.366279560080848 0.250281934262148 0.257537864597907
545.398400118736 541.515017991127 520.001891847554 517.2049870121 0.879692657146193 0.846104555736194 1.35140512014505 1.32978664702978
405.36906154744 403.318839929894 387.137589931348 386.159845749845 0.0540621344204836 0.0356658120084805 0.0162021400933554 0.0199331889093628
1514.20463831718 1410.52352175737 1310.2545340817 909.596562377039 0.846302406250664 0.766807327574151 5.6442821648161 4.9561696265996
649.550948796467 635.436557029358 592.877883159026 580.401266055091 0.819980795703678 0.746907727281695 1.56064518180938 1.50897045530155
424.015031870287 422.454997896011 407.877543491427 407.326557596873 0.272055830032151 0.245398092624637 0.0144756737213356 0.0128768282561396
407.070863334189 402.773966798856 379.44078439312 379.210089883544 0.0612611257195737 0.0240927852306967 0.0303882663029071 0.0316448050607505
380.837771836156 379.226733001435 366.4750011576 366.315221960775 -0.275409875391014 -0.284673789812277 0.195226968098268 0.198681838570337
350.3507629025 349.495641851803 340.099178733152 340.044033884777 -1.02654405423559 -1.03042092105129 0.945870317389108 0.951577777578223
338.005072406497 337.513123554011 330.184372244439 330.184359346099 -1.59297862873921 -1.57193832660672 1.7330428831965 1.73696404895372
305.82662708745 305.400601321636 298.725939785015 298.725938326523 -2.60353018650539 -2.6449199253636 3.12744340009067 3.13307496931975
349.204665639509 347.832534039661 334.485138606052 334.396656410346 -0.745954022272252 -0.702289508520014 0.639315616614567 0.647396505142297
289.744047295458 289.414064857765 283.490031757224 283.486810687418 -4.08625182522055 -4.05991380607744 4.8055868472934 4.84105371996975
378.25186960849 375.592608895864 359.564207516389 359.366317027715 -0.255635369884736 -0.28323771467297 0.206946737519502 0.211721690118338
397.581827114444 394.42045803681 371.37096650173 370.249701330646 -0.02328182735049 -0.0509522662721387 0.0676072709757136 0.0772348124114615
315.263728071826 314.659579876175 306.078841591957 305.989713978213 -1.88779898184388 -2.04606308032956 2.17941681797811 2.2131250091129
309.747279606154 308.758756835437 297.478617802649 297.372041254908 -1.89914806410556 -1.91368286196731 1.92171302208135 1.96735391784523
349.973647715285 349.329507553931 341.373550702915 341.356226243352 -1.07211674797585 -1.04422581135952 1.05398109519638 1.05811097570268
348.789307909916 347.96193964462 338.108089740446 338.038037289499 -0.954258935144779 -0.937433574002569 0.861431004490441 0.867046800915887
366.342330084714 364.630286992101 350.791267764616 350.533880816255 -0.454543166340848 -0.481079237180759 0.37499555687009 0.385183079133185
387.230444399613 385.728851927008 373.84122604458 373.682260254915 -0.177302946473533 -0.189834968151453 0.123060015862848 0.125908055689706
327.615853554908 326.620959213605 316.212030728752 316.171631030366 -1.42992949702631 -1.44202016018918 1.43129538975245 1.44553566870081
342.723237829034 341.478916238938 329.224793433873 329.072108178266 -0.887682081163184 -0.902749357982051 0.790644798634276 0.805351905275529
344.939943281608 343.972832685187 332.57791893847 332.456499650885 -0.943371974990852 -0.917929563808876 0.880159110746717 0.89412410284649
405.052458804055 402.279897234689 384.833361155954 384.525981454314 0.0511622906912548 0.021749850527022 0.0228049214588282 0.0242452741517809
352.436041578304 351.557947558684 340.484671782767 340.14993741343 -0.868683579987382 -0.890157296376244 0.78042717745484 0.807406413913668
345.317354451416 344.688773728272 336.672567012926 336.66441964207 -1.19696652770958 -1.13391111283004 1.22757698543955 1.23145337760843
528.388552425155 524.337037101833 502.009544485556 499.401822022924 0.809264830542347 0.797202923310483 0.989241658276569 0.969828998152934
639.673664624435 620.79566992533 568.81480169102 545.475737088706 0.677328566822556 0.678290053063653 0.755741425871747 0.682176187235655
375.121113050894 373.826331636131 362.884923417208 362.814119748776 -0.412083953182536 -0.452242711428621 0.314511330794176 0.317807572458605
465.085912255515 461.249167582779 437.249795997047 435.46768028359 0.46725528755373 0.446868746275846 0.129079119842572 0.121048438430535
393.651186722759 392.526761982977 380.078908859267 379.921566026598 -0.0966160045607032 -0.108704557412961 0.0790272521185216 0.0812174811417208
383.08823809244 381.091965692092 363.275425515092 362.679011263593 -0.201482385608066 -0.218187008671501 0.156543450405479 0.166433888055963
319.416871155833 319.098915033608 313.337765287114 313.337758494005 -2.61941503223271 -2.62896323215272 3.34735595023722 3.35128253818129
320.20225217859 319.683046740865 313.2810458819 313.281047432248 -2.23960425848542 -2.33326307294561 2.73205915917697 2.73766605212177
418.647074459518 415.122728946464 395.671306302658 395.401259900609 0.163373530870253 0.121814706268696 0.00021551699956035 0.000357959664142982
427.454427724652 424.071875988713 404.767875612442 403.842781221165 0.242943324997921 0.202139477893428 0.00480897173110861 0.00353992883583487
759.273256174629 734.35132722224 689.649204487336 672.341301802885 0.893664316841515 0.882364397177163 2.80420291998462 2.74608545214414
441.590899973505 439.349476765267 420.983842446852 420.244536520134 0.413414673943314 0.404172876735161 0.0686253282883627 0.0652157512067788
387.431692656356 386.009993260678 372.313990733467 372.014983151341 -0.162879789666329 -0.181943181648054 0.124048236819363 0.128541254515312
364.433925659139 363.49895404235 353.274968622688 353.107263406993 -0.588581462122588 -0.607660953647892 0.482949311690845 0.490520715554339
291.445045201886 291.135780338995 285.737469997984 285.737470433703 -3.47247503252265 -3.4790544112654 4.83168470902638 4.84097533241629
374.518324998915 373.050105050966 359.702341736049 359.652708395664 -0.361889713032045 -0.376923202159727 0.240016758630645 0.241877972012389
409.84482369558 407.09658612977 388.924698831193 388.528329531847 0.0963041657231013 0.0688749377438109 0.0104891077280627 0.0116967016188028
315.697771662166 315.21956021464 307.462427818774 307.458663626501 -2.42732208649888 -2.47988330902408 2.60064888076704 2.61323624641682
350.958452710728 350.217166741775 341.880050572767 341.87762428707 -1.04963836315868 -1.04337590731816 1.01282690948619 1.0152444945893
365.722604663124 362.500420246557 343.645169266472 343.633960366284 -0.392992158415849 -0.434886471305574 0.338027474341743 0.34005728619104
338.541289876788 337.682439228689 327.349596189902 327.265787760004 -1.16058204536284 -1.22321523098734 1.10840177154341 1.11846838461679
346.907735256561 345.232146287243 330.116283855507 329.916353300003 -0.742888421500598 -0.779459139177529 0.678086656962478 0.694272216061108
447.318921657712 444.93263479417 426.908166308947 424.716840395279 0.426978113999429 0.445094592051921 0.104454035291383 0.0926421150984424
399.986854719946 398.198865169837 385.816867152249 385.641434705016 -0.000164959448263701 -0.0223398186661001 0.0309229328913716 0.0321561749615284
476.36401176339 473.387142465616 453.854040444685 452.963558226017 0.546540510118254 0.515768025537641 0.266187111469208 0.261354748722624
315.867812088552 315.429682306357 308.622793692659 308.622794370388 -2.34048480231842 -2.2822651035755 2.84232051254821 2.84616445409392
393.557445824477 391.882480271157 376.355166111346 375.984739589642 -0.0740954267189587 -0.0849509150874006 0.0620111813673248 0.0650405537789993
381.108146719943 378.38846396924 361.014279591217 360.222288222032 -0.188501012947851 -0.225437450112002 0.139097323992701 0.149667067702012
352.861158594348 351.019709798786 337.485321889197 337.350138442637 -0.698925575548484 -0.75593324699933 0.618295654181566 0.628568012570668
366.740912197981 364.554615125491 347.063466535452 346.984468406904 -0.423851128453181 -0.459858294569015 0.346865501888715 0.351381679740825
429.797423087915 427.92555740391 412.982042517642 412.661941923278 0.310126061185751 0.311544808555142 0.0324837497109911 0.0312985860086883
338.610032501459 337.841176099185 328.570249927313 328.5499220257 -1.21568416283976 -1.25771107262584 1.19474688141872 1.20056656611223
719.306470190227 681.341606568637 612.16553327106 581.197305102875 0.618836504888035 0.586927027513004 0.913267050232662 0.838714260542929
344.052970814305 343.184927571395 333.041407666459 332.801757846154 -1.05635203573621 -0.999964092955723 1.03586322406682 1.06303842504758
437.589451568262 434.871906667153 416.945643453909 416.529362100573 0.3357874192773 0.328468335858864 0.0476363743377988 0.0459014229918466
365.529494208743 364.552038634862 354.172428758894 354.009979541339 -0.553120336596478 -0.580355849448652 0.461403314497147 0.470000764469205
379.870174594036 378.487627531642 364.730164815483 364.523941611305 -0.266005406786579 -0.268426342400027 0.187439895242733 0.191409552897312
396.504135411612 394.2582348306 378.365000058846 378.261693134814 -0.0395521201930146 -0.0637618326630303 0.0545863371844462 0.0556343058360653
460.042369139867 456.660076352538 438.358751328072 438.029808280154 0.543095695917274 0.502037760821855 0.239560981254272 0.237358209715239
408.728729008435 404.799889284117 383.238165642785 382.796910161137 0.0779068971744161 0.0413524398833044 0.0218951606511837 0.0239821126560855
431.554190584002 429.709628453531 414.697177648646 414.321132695843 0.347878723483398 0.312518604078673 0.040257012892198 0.038724870565602
654.345020665593 647.705073176592 621.590191645287 611.276728495589 0.998724154982678 1.0287377380551 2.6015982901672 2.53948671551507
