"n_obs" "em_cl_N" "em_cl_loglike" "em_el_N" "em_el_loglike" "em_pel_N" "em_pel_loglike" "opt_cl_N" "opt_cl_loglike" "opt_el_N" "opt_el_loglike" "opt_pel_N" "opt_pel_loglike"
129 158.017465180258 -719.52855124529 158.017465180258 -719.52855124529 157.750113484508 -719.536230636127 162.688771819162 -90.0771133924753 158.164223714931 -719.528512618218 157.884964475177 -719.536193689816
129 155.248459433586 -731.505638220173 155.248459433586 -731.505638220173 155.181550513173 -731.507342842911 159.066263316539 -102.0975798814 155.362068360201 -731.505602380932 155.289334346463 -731.507310002849
128 249.521928873295 -726.725732702022 249.521928873295 -726.725732702022 243.005690084035 -726.768559537883 269.826510455679 -102.658051041081 251.400748635 -726.725489443251 244.471525834459 -726.768356646064
123 178.544349910055 -671.755191472822 178.544349910055 -671.755191472822 175.02676836054 -671.810485011969 189.989194210454 -77.0800734016209 179.122501110954 -671.755073136867 175.460115620601 -671.810392811248
128 154.998666334152 -720.374401695492 154.998666334152 -720.374401695492 154.827696942483 -720.378194847385 160.56435611389 -96.801178614078 155.16655891054 -720.374345634009 154.9891829834 -720.37814068125
129 201.385585698182 -722.172414395439 201.385585698182 -722.172414395439 199.451016951101 -722.200668389509 210.943611382569 -92.3970218450697 201.961997046528 -722.172319692095 199.960728365023 -722.2005831479
127 162.616756150368 -712.534195042579 162.616756150368 -712.534195042579 162.3070226462 -712.541022663282 168.091696888291 -94.709581097645 162.802677705546 -712.534148523122 162.505716544312 -712.540970729788
131 185.509973191055 -744.300071682349 185.509973191055 -744.300071682349 184.953023738958 -744.308526046996 193.926775371226 -102.877037820598 185.931567920113 -744.299976078025 185.344844333685 -744.308437220862
128 159.975184824751 -724.517288848748 159.975184824751 -724.517288848748 159.860752923967 -724.519802240052 164.051803952198 -100.890151899502 160.099747825339 -724.517258025341 159.996923978687 -724.519766966195
122 182.261013019226 -674.677840922947 182.261013019226 -674.677840922947 178.504939604505 -674.720795085961 197.964937558292 -85.7779901905757 183.106430897104 -674.677671137039 179.147209516163 -674.720658993262
122 193.201320481402 -680.45934994942 193.201320481402 -680.45934994942 190.51585076224 -680.488219936311 207.090296538954 -91.5160427202321 194.060837258256 -680.459192385768 191.236573944835 -680.48808221678
128 212.140117661797 -729.279461256214 212.140117661797 -729.279461256214 210.587442154027 -729.295529955729 223.818789467088 -105.314972320573 212.912960384512 -729.279341096287 211.305197430152 -729.295414856395
123 479.893132573724 -691.671255731138 479.893132573724 -691.671255731138 389.255863675376 -691.896291312545 531.090545341105 -96.5839764763029 490.890427710362 -691.670628734891 393.073061828056 -691.895979978669
117 226.84824315282 -646.509438761032 226.84824315282 -646.509438761032 214.985474759207 -646.589283485885 250.439828294029 -86.3695109649868 228.880577179756 -646.509178775038 216.250436893868 -646.589103075204
115 192.30948174038 -636.120556732804 192.30948174038 -636.120556732804 189.199882785246 -636.153735717693 205.250038580782 -87.5917676120583 193.154273736875 -636.120427510098 189.914139424289 -636.153622053112
136 213.584942395022 -763.125757047386 213.584942395022 -763.125757047386 209.496442918792 -763.176925309201 226.309497336157 -92.1089377432017 214.36889072318 -763.125639798459 210.135497688197 -763.17682413286
124 167.134680379609 -695.089709907439 167.134680379609 -695.089709907439 166.213311250169 -695.103376350693 177.171188471148 -94.6810779020872 167.553511706825 -695.089613775043 166.600957990563 -695.103283654966
131 183.049672329061 -739.668127751663 183.049672329061 -739.668127751663 182.420137685991 -739.679802942737 190.066484772882 -98.2641743866456 183.378575568054 -739.668061090733 182.731450198357 -739.679738291514
127 355.854645409915 -705.395163456918 355.854645409915 -705.395163456918 308.246885799801 -705.608123908345 389.054479961253 -87.0482328883705 360.769109440622 -705.39478360703 310.287898334815 -705.607925692355
134 226.967892002096 -756.915622236974 226.967892002096 -756.915622236974 222.701664468486 -756.957449528374 242.192232325129 -97.6584522926658 228.109201100536 -756.915447970995 223.617101663344 -756.957308035342
137 168.432650083619 -765.798554072699 168.432650083619 -765.798554072699 167.665755649346 -765.815900031512 175.994994732843 -89.1741591643608 249.388919206581 -767.110455569727 247.85344902275 -767.501703740866
133 184.711000931624 -745.033090008985 184.711000931624 -745.033090008985 183.151941744619 -745.058360328679 194.742685631122 -91.854249518968 185.194048803079 -745.032983648182 183.564414977867 -745.058268164238
135 200.337793720092 -756.966802308777 200.337793720092 -756.966802308777 198.222324096236 -756.99958389391 210.181565131665 -91.9171033654918 200.880845461263 -756.966708313897 198.703905692419 -756.999496205917
121 308.814504076416 -669.540518665729 308.814504076416 -669.540518665729 264.686921943348 -669.739464210058 347.093422776051 -86.1601546804654 313.826432119802 -669.540061559036 266.535428581474 -669.73923945968
116 186.262873670449 -637.417521914334 186.262873670449 -637.417521914334 182.216833058456 -637.458229642863 202.624893035405 -83.157331445981 187.286089278905 -637.417328944572 183.008807019938 -637.458068702592
125 156.646639650035 -684.941986083287 156.646639650035 -684.941986083287 155.5549876216 -684.967807344332 164.185790994584 -78.8231067849901 156.89657314366 -684.941916879502 155.771381222391 -684.967747531479
134 268.051876397802 -761.014972650152 268.051876397802 -761.014972650152 260.96617668803 -761.066513076438 285.917106921301 -101.664979020356 269.758832499784 -761.01477887397 262.326474883798 -761.066351476057
135 161.781664626539 -753.062502792549 161.781664626539 -753.062502792549 161.362229436583 -753.074727421512 167.035322456745 -88.3367411973889 161.930144781521 -753.062462032793 161.503680769192 -753.074686670773
128 185.107196350254 -714.631999508764 185.107196350254 -714.631999508764 183.401284268626 -714.657200640163 195.73085595873 -90.7828242093792 185.667832220235 -714.631884339335 183.879237779925 -714.657104512593
131 209.934824950414 -726.81097857763 209.934824950414 -726.81097857763 201.724427109901 -726.896413204642 227.978845309883 -85.2575373323499 211.089077901721 -726.810801520011 202.483232529823 -726.896286476549
133 229.999882155597 -764.883450937066 229.999882155597 -764.883450937066 227.787569810041 -764.900405094058 246.273597099417 -111.509510281802 231.259485008107 -764.883266968868 228.925309581375 -764.900234497183
129 143.591867894179 -730.249563494386 143.591867894179 -730.249563494386 143.586775721572 -730.249646724702 145.509854143178 -101.094300594716 143.621597148399 -730.249554384078 143.61611699876 -730.249637806141
126 646.921556892025 -696.434163976797 646.921556892025 -696.434163976797 267.243545347632 -697.009353514617 881.216621953315 -83.8084426175986 716.913869036406 -696.431761780732 269.842523270528 -697.009042081224
129 221.948372223445 -735.554185889638 221.948372223445 -735.554185889638 219.743251550877 -735.573563717871 236.098679649728 -105.701578778665 223.014545065977 -735.554025123789 220.720058992293 -735.573409854938
124 220.875146962653 -687.688993938392 220.875146962653 -687.688993938392 209.93192541795 -687.779990343601 241.392689343752 -87.0271532916111 222.403866531095 -687.688796736187 210.914561432191 -687.779848728702
124 231.632407781733 -701.591435774598 231.632407781733 -701.591435774598 225.015885985897 -701.631561077271 255.657059284364 -100.900587651251 233.707791561371 -701.591139521784 226.593664114037 -701.63131834105
130 187.388080368681 -738.744750257201 187.388080368681 -738.744750257201 186.718664332731 -738.75439169666 196.058667933896 -103.17720681295 187.834346490411 -738.744655892765 187.14598727215 -738.75429760002
126 148.924788343324 -694.326357806772 148.924788343324 -694.326357806772 148.672177112124 -694.334837546897 153.125149635873 -82.513369115635 240.264678579959 -697.233480171416 238.221834918367 -697.728823366541
132 215.00314393556 -734.019401869544 215.00314393556 -734.019401869544 209.658307914842 -734.081344476994 229.220721292974 -86.5781091311994 215.967849520357 -734.019246492151 210.362174787639 -734.081226653375
120 251.11065913226 -669.359065075018 251.11065913226 -669.359065075018 238.316918640418 -669.430802356348 277.222770323078 -91.8475217939097 253.742936884692 -669.358739072492 240.00750591462 -669.430564821337
127 363.66146446674 -706.678704005728 363.66146446674 -706.678704005728 303.63156029637 -706.915829843746 404.619355359917 -88.3237113497105 369.828038851553 -706.678271545275 305.793724648951 -706.915634288252
129 200.299690243138 -725.879925610693 200.299690243138 -725.879925610693 199.31224456722 -725.895536818936 207.945933439202 -96.1130628464174 200.737019784798 -725.879856200566 199.740790485525 -725.895464985093
125 215.799562388005 -715.917615857297 215.799562388005 -715.917615857297 214.597828363076 -715.92769686101 228.604486654435 -109.456546869814 216.753052746573 -715.917474355703 215.498856470791 -715.927560691157
134 194.209808308627 -760.09573562191 194.209808308627 -760.09573562191 193.316271540164 -760.110545543555 202.495012495457 -100.978050428276 194.641903868841 -760.095650298385 193.708701426143 -760.110472375234
126 261.877980360506 -704.421676739108 261.877980360506 -704.421676739108 247.828610867528 -704.513110497775 284.324489485985 -92.0200152788582 264.067999874874 -704.42144165761 249.262092863715 -704.512939823907
120 190.128631520534 -665.634082828608 190.128631520534 -665.634082828608 187.825722262237 -665.66421123221 200.877665721118 -88.2959365298282 190.77062293215 -665.63397483997 188.383296147955 -665.664114418482
123 163.540528010843 -685.573276761686 163.540528010843 -685.573276761686 163.008596051051 -685.584188782332 170.117901624879 -91.0155484586308 163.803826060059 -685.573214312921 163.258678317679 -685.584128976093
126 289.402527947212 -720.059005997018 289.402527947212 -720.059005997018 278.746045336986 -720.100486959049 322.151202157863 -107.612981857618 293.489745582094 -720.058537544972 281.702841085604 -720.100122372012
119 213.750784305752 -653.834961252026 213.750784305752 -653.834961252026 202.864578893788 -653.921916354754 236.354128276371 -82.1846881012173 215.513817930179 -653.834690758286 203.917219439925 -653.921732017958
136 183.089232259121 -762.225727747268 183.089232259121 -762.225727747268 182.436495543712 -762.241509989488 188.93830111192 -91.3838703322469 183.338982641249 -762.225672269279 182.673436253273 -762.241455998787
124 142.788061635076 -697.206006425135 142.788061635076 -697.206006425135 142.772219948276 -697.206399489577 145.078359339842 -97.1461367893475 142.837235003917 -697.205991229891 142.820318735487 -697.20638485224
133 198.424016475125 -759.36593597312 198.424016475125 -759.36593597312 197.9399030362 -759.373532294758 205.200459712329 -106.121356881523 198.782859154761 -759.365876394118 198.304982369101 -759.373467446291
121 232.263515175818 -666.604021409055 232.263515175818 -666.604021409055 217.018244803807 -666.717678137875 255.365232598447 -83.3369472626538 234.223684857792 -666.603777186624 218.113218086125 -666.717521520756
138 205.074271319172 -784.669497346606 205.074271319172 -784.669497346606 203.765368240446 -784.68925645884 214.202873435793 -101.860734076147 205.583018305945 -784.669412976725 204.2375469256 -784.689175202084
135 179.295911975608 -775.760941965223 179.295911975608 -775.760941965223 179.113650201016 -775.764217412009 184.782070565503 -110.851588651355 179.515818631015 -775.760891112237 179.33727665254 -775.764164115772
125 155.551512265364 -702.532023748144 155.551512265364 -702.532023748144 155.448698162614 -702.534821313343 159.407614125081 -96.4461502434818 210.003115489851 -704.258015318343 209.721545874874 -704.324984285731
133 172.371826273885 -755.880616511929 172.371826273885 -755.880616511929 172.19310553009 -755.884639975725 176.945228920481 -102.814278899945 172.532551238674 -755.880581986352 172.360345574287 -755.884602498699
129 352.196724993347 -712.969400723306 352.196724993347 -712.969400723306 258.185168533155 -713.340638992878 421.930517632165 -82.9032293359909 362.814838983162 -712.968531542431 259.800054130226 -713.34040595731
121 177.056398344455 -674.511119686385 177.056398344455 -674.511119686385 176.363391010551 -674.523248712037 184.142106315922 -91.4557561168943 177.403080692045 -674.51105126548 176.697312675976 -674.523183879912
125 176.768379712212 -694.926446361873 176.768379712212 -694.926446361873 175.137092375861 -694.95019750355 187.656846342341 -88.6315397739605 177.291257023135 -694.926331451413 175.603859227823 -694.950088621065
117 154.719593940414 -658.932044233124 154.719593940414 -658.932044233124 154.635322668392 -658.933760439971 158.855389229495 -99.140717766366 154.867046486588 -658.932011899559 154.772639861951 -658.93373058248
130 161.20262451824 -723.989412001405 161.20262451824 -723.989412001405 160.723481815652 -724.001425578047 167.234927239708 -88.6390764211905 161.400433241184 -723.989357530867 160.906335049282 -724.001374739294
123 140.845761318245 -683.275978016112 140.845761318245 -683.275978016112 140.798394754357 -683.277648093381 143.516256654356 -89.0495240453138 140.89643755674 -683.275962327927 140.846455142602 -683.27763378609
127 172.339953083812 -721.825715012946 172.339953083812 -721.825715012946 172.02122505208 -721.83105272959 179.372648868769 -103.911118231856 172.648366643085 -721.825642410562 172.312075121959 -721.830985206095
126 186.618192000269 -696.293284842989 186.618192000269 -696.293284842989 173.265448893553 -696.384576013635 233.698946367566 -84.0462363291423 188.964624965435 -696.292846803402 174.156151645852 -696.384375204045
133 209.26475864205 -754.133847081722 209.26475864205 -754.133847081722 206.563645362394 -754.161626802908 223.97896211018 -100.82713389418 210.227301649346 -754.133677485197 207.366189467501 -754.161482599321
134 224.519949836403 -756.899537528492 224.519949836403 -756.899537528492 220.92915822769 -756.938732653843 237.599266613182 -97.6527408236681 225.432533172396 -756.899406129619 221.697070648432 -756.938617872135
127 215.101067770095 -710.481354592947 215.101067770095 -710.481354592947 210.790698413776 -710.525340158685 229.502676405777 -92.3498909840356 216.10946672608 -710.481202477741 211.601845594458 -710.52521369236
127 161.337023060674 -698.037954554524 161.337023060674 -698.037954554524 160.400925898305 -698.062265331136 167.602635758928 -80.2223935073248 161.544098009266 -698.037904563035 160.593778499198 -698.06221487582
127 155.451193724157 -716.007257996455 155.451193724157 -716.007257996455 155.326922932517 -716.0101253536 159.728063042906 -98.2712499674042 155.582915014811 -716.00722344478 155.461205625265 -716.010087277113
127 256.276108331294 -714.383856847137 256.276108331294 -714.383856847137 251.048396236445 -714.427266671137 270.67120626804 -96.1579463769403 257.585905050665 -714.383713749447 252.169529138432 -714.427140351645
131 221.193968343822 -742.884533149131 221.193968343822 -742.884533149131 218.33476605075 -742.912521190632 235.175135147154 -101.30176619553 222.205945175111 -742.884375473313 219.204548413479 -742.912383311133
118 155.123596659345 -661.892197819869 155.123596659345 -661.892197819869 154.877384127416 -661.896651240025 161.364965734345 -96.329376450603 155.362871797413 -661.892134053546 155.108675762231 -661.896590430363
116 236.240045659018 -644.468485575496 236.240045659018 -644.468485575496 231.109371067947 -644.509779076918 250.799947637917 -90.077611070862 237.546696741787 -644.46833469379 232.210412711817 -644.509644473265
134 151.690567182246 -751.958923179318 151.690567182246 -751.958923179318 151.634467117688 -751.96098938305 154.60332569264 -93.3159547640643 252.084330321198 -756.398332167822 250.385518435869 -756.812770067914
